account,coin,exec_price,size_usd,side,direction,pnl,fee,net_pnl,is_win,is_cross_margin,trade_date,sentiment
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,GMX,13.647,802.17,SELL,Close Long,91.232438,0.269528,90.96291000000001,True,True,2025-04-09,Extreme Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.078885,502.1,SELL,Close Long,60.435675,0.168706,60.266969,True,True,2025-04-10,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.078885,541.78,SELL,Close Long,65.21166,0.182038,65.02962199999999,True,True,2025-04-10,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.078846,920.76,SELL,Close Long,110.427168,0.309376,110.117792,True,True,2025-04-10,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.078846,961.53,SELL,Close Long,115.31592,0.323072,114.99284800000001,True,True,2025-04-10,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.07881,2252.63,SELL,Close Long,269.25186,0.756882,268.494978,True,True,2025-04-10,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.078806,961.04,SELL,Close Long,114.82812,0.322908,114.505212,True,True,2025-04-10,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.07879,500.16,SELL,Close Long,59.6712,0.168052,59.503147999999996,True,True,2025-04-10,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.078783,303.94,SELL,Close Long,36.238194,0.102124,36.13607,True,True,2025-04-10,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.078782,269.43,SELL,Close Long,32.12064,0.090529,32.030111000000005,True,True,2025-04-10,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.078779,1011.13,SELL,Close Long,120.507815,0.339738,120.168077,True,True,2025-04-10,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.07876,9794.28,SELL,Close Long,1165.21572,3.290877,1161.924843,True,True,2025-04-10,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.078759,986.77,SELL,Close Long,117.384201,0.331555,117.05264600000001,True,True,2025-04-10,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.07874,500.08,SELL,Close Long,59.38185,0.168025,59.213825,True,True,2025-04-10,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.078734,490.83,SELL,Close Long,58.250496,0.164917,58.085578999999996,True,True,2025-04-10,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.078734,19974.11,SELL,Close Long,2370.488704,6.711299,2363.777405,True,True,2025-04-10,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.07873,1015.07,SELL,Close Long,120.42062,0.341062,120.079558,True,True,2025-04-10,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.078711,303.67,SELL,Close Long,35.960418,0.102031,35.858387,True,True,2025-04-10,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.078696,3406.04,SELL,Close Long,402.772986,1.144429,401.628557,True,True,2025-04-10,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.078694,2554.56,SELL,Close Long,302.026448,0.858333,301.168115,True,True,2025-04-10,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.087106,507.39,SELL,Close Long,25.3038,0.170483,25.133316999999998,True,True,2025-04-12,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.087106,546.76,SELL,Close Long,27.267288,0.183712,27.083576,True,True,2025-04-12,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.087097,603.67,SELL,Close Long,30.045885,0.202832,29.843052999999998,True,True,2025-04-12,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.087083,885.63,SELL,Close Long,43.94457,0.297572,43.646997999999996,True,True,2025-04-12,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.087081,1179.77,SELL,Close Long,58.513812,0.396403,58.117409,True,True,2025-04-12,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.087068,1037.07,SELL,Close Long,51.288766,0.348454,50.940312000000006,True,True,2025-04-12,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.08705,1144.62,SELL,Close Long,56.382912,0.384592,55.99832,True,True,2025-04-12,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.087032,1050.48,SELL,Close Long,51.5389,0.352959,51.185941,True,True,2025-04-12,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.087032,1220.62,SELL,Close Long,59.88675,0.410129,59.476621,True,True,2025-04-12,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.08703,1457.4,SELL,Close Long,71.471928,0.489687,70.982241,True,True,2025-04-12,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.087025,305.72,SELL,Close Long,14.975919,0.10272,14.873199,True,True,2025-04-12,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.087,1393.57,SELL,Close Long,67.884284,0.468238,67.416046,True,True,2025-04-12,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.086981,484.31,SELL,Close Long,23.491392,0.162727,23.328665,True,True,2025-04-12,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.086978,1229.78,SELL,Close Long,59.610024,0.413206,59.196818,True,True,2025-04-12,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.086961,305.49,SELL,Close Long,14.751087,0.102645,14.648442,True,True,2025-04-12,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.086957,6064.38,SELL,Close Long,292.5593,2.037631,290.52166900000003,True,True,2025-04-12,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.086955,1017.81,SELL,Close Long,49.079065,0.341982,48.737083,True,True,2025-04-12,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.086949,9231.9,SELL,Close Long,444.558912,3.101916,441.456996,True,True,2025-04-12,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.086932,1958.14,SELL,Close Long,93.92925,0.657936,93.27131399999999,True,True,2025-04-12,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.086913,9354.27,SELL,Close Long,446.763828,3.143035,443.620793,True,True,2025-04-12,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.08691,500.08,SELL,Close Long,23.867592,0.168026,23.699565999999997,True,True,2025-04-12,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.086896,2218.98,SELL,Close Long,105.565824,0.745575,104.820249,True,True,2025-04-12,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.086894,305.26,SELL,Close Long,14.515716,0.102566,14.41315,True,True,2025-04-12,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.08687,8167.52,SELL,Close Long,386.23416,2.744285,383.489875,True,True,2025-04-12,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.13249,168.79,SELL,Close Long,60.225802,0.056713,60.169089,True,True,2025-04-23,Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.13245,1500.0,SELL,Close Long,534.913725,0.503998,534.409727,True,True,2025-04-23,Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.13244,3113.53,SELL,Close Long,1110.165507,1.046146,1109.119361,True,True,2025-04-23,Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.13239,1384.14,SELL,Close Long,493.193715,0.46507,492.728645,True,True,2025-04-23,Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.13233,1499.96,SELL,Close Long,534.025855,0.503986,533.5218689999999,True,True,2025-04-23,Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.13231,298.49,SELL,Close Long,106.241808,0.100292,106.14151600000001,True,True,2025-04-23,Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AIXBT,0.13229,6220.01,SELL,Close Long,2213.278314,2.089922,2211.188392,True,True,2025-04-23,Greed
